date,store,product,price,promo,units_sold,revenue
2023-02-01,Store_1,Product_A,37.94,0,244.0,9251.06
2023-02-02,Store_1,Product_A,37.94,0,226.0,8562.31
2023-02-03,Store_1,Product_A,37.94,1,237.0,8996.11
2023-02-04,Store_1,Product_A,37.94,0,207.0,7860.61
2023-02-05,Store_1,Product_A,37.94,0,208.0,7878.87
2023-02-06,Store_1,Product_A,37.94,0,231.0,8766.15
2023-02-07,Store_1,Product_A,37.94,0,243.0,9220.6
2023-02-08,Store_1,Product_A,37.94,0,249.0,9439.13
2023-02-09,Store_1,Product_A,37.94,0,234.0,8891.46
2023-02-10,Store_1,Product_A,37.94,0,220.0,8333.71
2023-02-11,Store_1,Product_A,37.94,0,206.0,7801.32
2023-02-12,Store_1,Product_A,37.94,0,218.0,8289.42
2023-02-13,Store_1,Product_A,37.94,0,226.0,8589.65
2023-02-14,Store_1,Product_A,37.94,0,223.0,8449.87
2023-02-15,Store_1,Product_A,37.94,0,247.0,9370.2
2023-02-16,Store_1,Product_A,37.94,0,231.0,8781.32
2023-02-17,Store_1,Product_A,37.94,0,224.0,8487.54
2023-02-18,Store_1,Product_A,37.94,0,218.0,8252.26
2023-02-19,Store_1,Product_A,37.94,0,223.0,8456.98
2023-02-20,Store_1,Product_A,37.94,0,228.0,8639.48
2023-02-21,Store_1,Product_A,37.94,0,244.0,9251.75
2023-02-22,Store_1,Product_A,37.94,0,247.0,9353.35
2023-02-23,Store_1,Product_A,37.94,0,230.0,8716.28
2023-02-24,Store_1,Product_A,37.94,0,211.0,8012.9
2023-02-25,Store_1,Product_A,37.94,0,219.0,8303.68
2023-02-26,Store_1,Product_A,37.94,0,213.0,8088.88
2023-02-27,Store_1,Product_A,37.94,0,,8805.54
2023-02-28,Store_1,Product_A,37.94,0,231.0,8753.81
2023-03-01,Store_1,Product_A,37.94,0,237.0,8997.94
2023-03-02,Store_1,Product_A,37.94,0,242.0,9175.3
2023-03-03,Store_1,Product_A,37.94,0,221.0,8384.47
2023-03-04,Store_1,Product_A,37.94,0,215.0,8161.52
2023-03-05,Store_1,Product_A,37.94,0,218.0,8264.96
2023-03-06,Store_1,Product_A,37.94,0,230.0,8709.97
2023-03-07,Store_1,Product_A,37.94,0,241.0,9145.26
2023-03-08,Store_1,Product_A,37.94,1,,9954.7
2023-03-09,Store_1,Product_A,37.94,1,259.0,9817.53
2023-03-10,Store_1,Product_A,37.94,0,234.0,8894.14
2023-03-11,Store_1,Product_A,37.94,0,,8157.99
2023-03-12,Store_1,Product_A,37.94,0,228.0,8648.78
2023-03-13,Store_1,Product_A,37.94,0,236.0,8937.27
2023-03-14,Store_1,Product_A,37.94,0,235.0,8901.95
2023-03-15,Store_1,Product_A,37.94,0,257.0,9755.64
2023-03-16,Store_1,Product_A,37.94,0,239.0,9063.03
2023-03-17,Store_1,Product_A,37.94,0,236.0,8960.64
2023-03-18,Store_1,Product_A,37.94,0,213.0,8083.94
2023-03-19,Store_1,Product_A,37.94,0,233.0,8838.28
2023-03-20,Store_1,Product_A,37.94,0,242.0,9187.32
2023-03-21,Store_1,Product_A,37.94,0,252.0,9569.2
2023-03-22,Store_1,Product_A,37.94,0,243.0,9219.39
2023-03-23,Store_1,Product_A,37.94,0,237.0,8994.52
2023-03-24,Store_1,Product_A,37.94,0,229.0,8693.49
2023-03-25,Store_1,Product_A,37.94,0,216.0,8201.21
2023-03-26,Store_1,Product_A,37.94,1,238.0,9017.69
2023-03-27,Store_1,Product_A,37.94,0,232.0,8801.77
2023-03-28,Store_1,Product_A,37.94,0,250.0,9474.37
2023-03-29,Store_1,Product_A,37.94,0,257.0,9737.62
2023-03-30,Store_1,Product_A,37.94,0,,8447.39
2023-03-31,Store_1,Product_A,37.94,0,214.0,8126.54
2023-04-01,Store_1,Product_A,37.94,0,213.0,8065.88
2023-04-02,Store_1,Product_A,37.94,0,221.0,8379.3
2023-04-03,Store_1,Product_A,37.94,0,228.0,8662.59
2023-04-04,Store_1,Product_A,37.94,0,237.0,9003.46
2023-04-05,Store_1,Product_A,37.94,0,255.0,9664.62
2023-04-06,Store_1,Product_A,37.94,0,227.0,8626.97
2023-04-07,Store_1,Product_A,37.94,0,207.0,7860.88
2023-04-08,Store_1,Product_A,37.94,0,230.0,8723.32
2023-04-09,Store_1,Product_A,37.94,0,215.0,8162.68
2023-04-10,Store_1,Product_A,37.94,0,232.0,8799.07
2023-04-11,Store_1,Product_A,37.94,0,251.0,9530.3
2023-04-12,Store_1,Product_A,37.94,0,241.0,9142.44
2023-04-13,Store_1,Product_A,37.94,0,220.0,8358.37
2023-04-14,Store_1,Product_A,37.94,0,236.0,8956.32
2023-04-15,Store_1,Product_A,37.94,0,225.0,8554.38
2023-04-16,Store_1,Product_A,37.94,0,224.0,8508.84
2023-04-17,Store_1,Product_A,37.94,0,230.0,8737.09
2023-04-18,Store_1,Product_A,37.94,1,286.0,10844.47
2023-04-19,Store_1,Product_A,37.94,0,241.0,9131.15
2023-04-20,Store_1,Product_A,37.94,0,251.0,9514.22
2023-04-21,Store_1,Product_A,37.94,0,222.0,8417.23
2023-04-22,Store_1,Product_A,37.94,0,222.0,8434.13
2023-04-23,Store_1,Product_A,37.94,0,202.0,7661.68
2023-04-24,Store_1,Product_A,37.94,0,232.0,8791.46
2023-04-25,Store_1,Product_A,37.94,0,246.0,9345.6
2023-04-26,Store_1,Product_A,37.94,0,255.0,9672.25
2023-04-27,Store_1,Product_A,37.94,1,268.0,10186.62
2023-04-28,Store_1,Product_A,37.94,0,213.0,8075.99
2023-04-29,Store_1,Product_A,37.94,0,212.0,8061.17
2023-04-30,Store_1,Product_A,37.94,0,216.0,8179.94
2023-05-01,Store_1,Product_A,37.94,0,225.0,8539.21
2023-05-02,Store_1,Product_A,37.94,0,226.0,8586.05
2023-05-03,Store_1,Product_A,37.94,0,235.0,8922.04
2023-05-04,Store_1,Product_A,37.94,0,231.0,8764.96
2023-05-05,Store_1,Product_A,37.94,0,228.0,8666.47
2023-05-06,Store_1,Product_A,37.94,0,213.0,8088.68
2023-05-07,Store_1,Product_A,37.94,0,211.0,8007.61
2023-05-08,Store_1,Product_A,37.94,0,223.0,8471.11
2023-05-09,Store_1,Product_A,37.94,0,239.0,9071.31
2023-05-10,Store_1,Product_A,37.94,0,223.0,8451.94
2023-05-11,Store_1,Product_A,37.94,0,232.0,8788.64
2023-05-12,Store_1,Product_A,37.94,0,225.0,8530.93
2023-05-13,Store_1,Product_A,37.94,0,209.0,7933.73
2023-05-14,Store_1,Product_A,37.94,0,212.0,8047.6
2023-05-15,Store_1,Product_A,37.94,0,230.0,8731.55
2023-05-16,Store_1,Product_A,37.94,0,233.0,8850.53
2023-05-17,Store_1,Product_A,37.94,1,257.0,9741.12
2023-05-18,Store_1,Product_A,37.94,0,225.0,8548.69
2023-05-19,Store_1,Product_A,37.94,0,216.0,8182.09
2023-05-20,Store_1,Product_A,37.94,0,208.0,7906.23
2023-05-21,Store_1,Product_A,37.94,0,217.0,8249.88
2023-05-22,Store_1,Product_A,37.94,0,217.0,8236.07
2023-05-23,Store_1,Product_A,37.94,0,228.0,8666.92
2023-05-24,Store_1,Product_A,37.94,1,246.0,9335.33
2023-05-25,Store_1,Product_A,37.94,0,220.0,8338.98
2023-05-26,Store_1,Product_A,37.94,0,215.0,8151.61
2023-05-27,Store_1,Product_A,37.94,0,197.0,7484.55
2023-05-28,Store_1,Product_A,37.94,0,203.0,7704.87
2023-05-29,Store_1,Product_A,37.94,0,213.0,8069.93
2023-05-30,Store_1,Product_A,37.94,0,231.0,8765.75
2023-05-31,Store_1,Product_A,37.94,0,245.0,9286.74
2023-06-01,Store_1,Product_A,37.94,0,215.0,8144.02
2023-06-02,Store_1,Product_A,37.94,0,208.0,7894.81
2023-06-03,Store_1,Product_A,37.94,0,198.0,7521.99
2023-06-04,Store_1,Product_A,37.94,0,186.0,7048.16
2023-06-05,Store_1,Product_A,37.94,0,223.0,8446.32
2023-06-06,Store_1,Product_A,37.94,0,223.0,8449.37
2023-06-07,Store_1,Product_A,37.94,0,227.0,8602.91
2023-06-08,Store_1,Product_A,37.94,0,218.0,8270.72
2023-06-09,Store_1,Product_A,37.94,0,201.0,7629.4
2023-06-10,Store_1,Product_A,37.94,0,191.0,7265.09
2023-06-11,Store_1,Product_A,37.94,0,205.0,7787.1
2023-06-12,Store_1,Product_A,37.94,0,210.0,7953.08
2023-06-13,Store_1,Product_A,37.94,0,232.0,8796.4
2023-06-14,Store_1,Product_A,37.94,0,230.0,8711.88
2023-06-15,Store_1,Product_A,37.94,1,263.0,9966.68
2023-06-16,Store_1,Product_A,37.94,0,202.0,7647.58
2023-06-17,Store_1,Product_A,37.94,0,203.0,7683.28
2023-06-18,Store_1,Product_A,37.94,0,198.0,7517.11
2023-06-19,Store_1,Product_A,37.94,0,219.0,8316.15
2023-06-20,Store_1,Product_A,37.94,0,210.0,7978.23
2023-06-21,Store_1,Product_A,37.94,0,226.0,8556.97
2023-06-22,Store_1,Product_A,37.94,0,218.0,8278.62
2023-06-23,Store_1,Product_A,37.94,0,208.0,7891.57
2023-06-24,Store_1,Product_A,37.94,0,191.0,7247.25
2023-06-25,Store_1,Product_A,37.94,0,201.0,7611.81
2023-06-26,Store_1,Product_A,37.94,0,206.0,7812.84
2023-06-27,Store_1,Product_A,37.94,0,227.0,8599.04
2023-06-28,Store_1,Product_A,37.94,0,219.0,8311.63
2023-06-29,Store_1,Product_A,37.94,0,210.0,7949.79
2023-06-30,Store_1,Product_A,37.94,0,192.0,7286.5
2023-07-01,Store_1,Product_A,37.94,0,188.0,7128.21
2023-07-02,Store_1,Product_A,37.94,0,196.0,7432.62
2023-07-03,Store_1,Product_A,37.94,1,273.0,10360.65
2023-07-04,Store_1,Product_A,37.94,0,219.0,8301.65
2023-07-05,Store_1,Product_A,37.94,0,223.0,8463.98
2023-07-06,Store_1,Product_A,37.94,0,210.0,7978.59
2023-07-07,Store_1,Product_A,37.94,0,204.0,7733.31
2023-07-08,Store_1,Product_A,37.94,0,209.0,7943.01
2023-07-09,Store_1,Product_A,37.94,1,226.0,8565.88
2023-07-10,Store_1,Product_A,37.94,1,240.0,9092.74
2023-07-11,Store_1,Product_A,37.94,0,196.0,7420.48
2023-07-12,Store_1,Product_A,37.94,0,208.0,7877.46
2023-07-13,Store_1,Product_A,37.94,0,207.0,7850.25
2023-07-14,Store_1,Product_A,37.94,0,187.0,7077.3
2023-07-15,Store_1,Product_A,37.94,0,190.0,7219.41
2023-07-16,Store_1,Product_A,37.94,0,183.0,6951.35
2023-07-17,Store_1,Product_A,37.94,0,201.0,7631.85
2023-07-18,Store_1,Product_A,37.94,0,232.0,8796.17
2023-07-19,Store_1,Product_A,37.94,0,205.0,7774.75
2023-07-20,Store_1,Product_A,37.94,0,196.0,7430.3
2023-07-21,Store_1,Product_A,37.94,0,193.0,7340.6
2023-07-22,Store_1,Product_A,37.94,0,180.0,6846.04
2023-07-23,Store_1,Product_A,37.94,0,185.0,7029.75
2023-07-24,Store_1,Product_A,37.94,0,198.0,7511.0
2023-07-25,Store_1,Product_A,37.94,0,207.0,7871.72
2023-07-26,Store_1,Product_A,37.94,0,213.0,8077.82
2023-07-27,Store_1,Product_A,37.94,0,205.0,7760.94
2023-07-28,Store_1,Product_A,37.94,0,176.0,6669.23
2023-07-29,Store_1,Product_A,37.94,0,195.0,7389.54
2023-07-30,Store_1,Product_A,37.94,0,189.0,7179.29
2023-07-31,Store_1,Product_A,37.94,0,183.0,6951.82
2023-08-01,Store_1,Product_A,37.94,0,214.0,8106.8
2023-08-02,Store_1,Product_A,37.94,0,208.0,7898.64
2023-08-03,Store_1,Product_A,37.94,0,195.0,7397.55
2023-08-04,Store_1,Product_A,37.94,0,183.0,6952.45
2023-08-05,Store_1,Product_A,37.94,0,165.0,6263.62
2023-08-06,Store_1,Product_A,37.94,0,185.0,7022.55
2023-08-07,Store_1,Product_A,37.94,1,229.0,8693.54
2023-08-08,Store_1,Product_A,37.94,0,216.0,8195.95
2023-08-09,Store_1,Product_A,37.94,0,203.0,7710.96
2023-08-10,Store_1,Product_A,37.94,0,199.0,7556.54
2023-08-11,Store_1,Product_A,37.94,0,189.0,7164.41
2023-08-12,Store_1,Product_A,37.94,0,162.0,6138.0
2023-08-13,Store_1,Product_A,37.94,0,183.0,6952.68
2023-08-14,Store_1,Product_A,37.94,0,178.0,6740.43
2023-08-15,Store_1,Product_A,37.94,0,203.0,7689.58
2023-08-16,Store_1,Product_A,37.94,0,201.0,7631.96
2023-08-17,Store_1,Product_A,37.94,0,187.0,7084.43
2023-08-18,Store_1,Product_A,37.94,0,190.0,7191.97
2023-08-19,Store_1,Product_A,37.94,0,163.0,6190.82
2023-08-20,Store_1,Product_A,37.94,0,175.0,6622.01
2023-08-21,Store_1,Product_A,37.94,0,184.0,6987.63
2023-08-22,Store_1,Product_A,37.94,0,204.0,7752.36
2023-08-23,Store_1,Product_A,37.94,1,250.0,9470.62
2023-08-24,Store_1,Product_A,37.94,0,195.0,7383.41
2023-08-25,Store_1,Product_A,37.94,0,189.0,7182.25
2023-08-26,Store_1,Product_A,37.94,0,171.0,6498.07
2023-08-27,Store_1,Product_A,37.94,0,166.0,6307.03
2023-08-28,Store_1,Product_A,37.94,1,226.0,8565.22
2023-08-29,Store_1,Product_A,37.94,0,205.0,7759.54
2023-08-30,Store_1,Product_A,37.94,0,203.0,7683.73
2023-08-31,Store_1,Product_A,37.94,1,244.0,9252.85
2023-09-01,Store_1,Product_A,37.94,0,179.0,6794.61
2023-09-02,Store_1,Product_A,37.94,0,178.0,6744.12
2023-09-03,Store_1,Product_A,37.94,0,176.0,6662.84
2023-09-04,Store_1,Product_A,37.94,0,182.0,6914.35
2023-09-05,Store_1,Product_A,37.94,0,190.0,7199.43
2023-09-06,Store_1,Product_A,37.94,1,233.0,8843.21
2023-09-07,Store_1,Product_A,37.94,0,181.0,6866.48
2023-09-08,Store_1,Product_A,37.94,0,196.0,7434.17
2023-09-09,Store_1,Product_A,37.94,0,164.0,6217.98
2023-09-10,Store_1,Product_A,37.94,0,159.0,6047.4
2023-09-11,Store_1,Product_A,37.94,0,184.0,6986.11
2023-09-12,Store_1,Product_A,37.94,0,192.0,7290.34
2023-09-13,Store_1,Product_A,37.94,0,189.0,7152.69
2023-09-14,Store_1,Product_A,37.94,0,209.0,7912.1
2023-09-15,Store_1,Product_A,37.94,0,184.0,6983.27
2023-09-16,Store_1,Product_A,37.94,0,173.0,6551.81
2023-09-17,Store_1,Product_A,37.94,0,180.0,6822.05
2023-09-18,Store_1,Product_A,37.94,0,176.0,6679.55
2023-09-19,Store_1,Product_A,37.94,0,194.0,7374.17
2023-09-20,Store_1,Product_A,37.94,0,207.0,7849.74
2023-09-21,Store_1,Product_A,37.94,0,192.0,7277.56
2023-09-22,Store_1,Product_A,37.94,0,183.0,6960.54
2023-09-23,Store_1,Product_A,37.94,0,171.0,6495.51
2023-09-24,Store_1,Product_A,37.94,0,165.0,6278.72
2023-09-25,Store_1,Product_A,37.94,0,186.0,7065.19
2023-09-26,Store_1,Product_A,37.94,0,189.0,7153.88
2023-09-27,Store_1,Product_A,37.94,0,201.0,7622.48
2023-09-28,Store_1,Product_A,37.94,0,189.0,7171.29
2023-09-29,Store_1,Product_A,37.94,0,177.0,6697.01
2023-09-30,Store_1,Product_A,37.94,0,172.0,6525.13
2023-10-01,Store_1,Product_A,37.94,0,171.0,6486.58
2023-10-02,Store_1,Product_A,37.94,0,181.0,6860.99
2023-10-03,Store_1,Product_A,37.94,1,228.0,8661.97
2023-10-04,Store_1,Product_A,37.94,0,200.0,7585.84
2023-10-05,Store_1,Product_A,37.94,1,214.0,8135.48
2023-10-06,Store_1,Product_A,37.94,0,162.0,6159.52
2023-10-07,Store_1,Product_A,37.94,0,165.0,6246.51
2023-10-08,Store_1,Product_A,37.94,0,180.0,6822.56
2023-10-09,Store_1,Product_A,37.94,0,193.0,7327.32
2023-10-10,Store_1,Product_A,37.94,0,185.0,7004.81
2023-10-11,Store_1,Product_A,37.94,0,211.0,7994.2
2023-10-12,Store_1,Product_A,37.94,0,190.0,7208.31
2023-10-13,Store_1,Product_A,37.94,0,175.0,6625.97
2023-10-14,Store_1,Product_A,37.94,0,174.0,6606.43
2023-10-15,Store_1,Product_A,37.94,0,177.0,6725.03
2023-10-16,Store_1,Product_A,37.94,1,241.0,9141.21
2023-10-17,Store_1,Product_A,37.94,0,199.0,7553.99
2023-10-18,Store_1,Product_A,37.94,0,192.0,7294.89
2023-10-19,Store_1,Product_A,37.94,0,190.0,7212.8
2023-10-20,Store_1,Product_A,37.94,0,176.0,6676.33
2023-10-21,Store_1,Product_A,37.94,0,164.0,6217.89
2023-10-22,Store_1,Product_A,37.94,0,172.0,6535.4
2023-10-23,Store_1,Product_A,37.94,0,180.0,6820.72
2023-10-24,Store_1,Product_A,37.94,0,200.0,7604.9
2023-10-25,Store_1,Product_A,37.94,0,214.0,8103.1
2023-10-26,Store_1,Product_A,37.94,0,190.0,7207.23
2023-10-27,Store_1,Product_A,37.94,0,173.0,6552.96
2023-10-28,Store_1,Product_A,37.94,0,173.0,6558.45
2023-10-29,Store_1,Product_A,37.94,1,215.0,8174.63
2023-10-30,Store_1,Product_A,37.94,0,189.0,7165.04
2023-10-31,Store_1,Product_A,37.94,0,203.0,7705.83
2023-11-01,Store_1,Product_A,37.94,0,199.0,7557.43
2023-11-02,Store_1,Product_A,37.94,0,203.0,7718.29
2023-11-03,Store_1,Product_A,37.94,1,199.0,7560.68
2023-11-04,Store_1,Product_A,37.94,0,168.0,6374.51
2023-11-05,Store_1,Product_A,37.94,0,166.0,6312.31
2023-11-06,Store_1,Product_A,37.94,1,213.0,8074.33
2023-11-07,Store_1,Product_A,37.94,0,207.0,7847.49
2023-11-08,Store_1,Product_A,37.94,0,210.0,7949.52
2023-11-09,Store_1,Product_A,37.94,1,228.0,8658.68
2023-11-10,Store_1,Product_A,37.94,0,198.0,7511.49
2023-11-11,Store_1,Product_A,37.94,0,181.0,6849.9
2023-11-12,Store_1,Product_A,37.94,0,179.0,6782.36
2023-11-13,Store_1,Product_A,37.94,0,192.0,7282.51
2023-11-14,Store_1,Product_A,37.94,0,199.0,7552.24
2023-11-15,Store_1,Product_A,37.94,0,195.0,7411.62
2023-11-16,Store_1,Product_A,37.94,0,199.0,7563.29
2023-11-17,Store_1,Product_A,37.94,0,172.0,6512.45
2023-11-18,Store_1,Product_A,37.94,0,174.0,6606.45
2023-11-19,Store_1,Product_A,37.94,0,185.0,7008.51
2023-11-20,Store_1,Product_A,37.94,0,180.0,6846.7
2023-11-21,Store_1,Product_A,37.94,0,213.0,8095.67
2023-11-22,Store_1,Product_A,37.94,0,206.0,7822.84
2023-11-23,Store_1,Product_A,37.94,0,200.0,7570.04
2023-11-24,Store_1,Product_A,37.94,1,205.0,7764.03
2023-11-25,Store_1,Product_A,37.94,0,174.0,6601.9
2023-11-26,Store_1,Product_A,37.94,0,637.0,24174.74
2023-11-27,Store_1,Product_A,37.94,0,182.0,6894.32
2023-11-28,Store_1,Product_A,37.94,0,210.0,7974.91
2023-11-29,Store_1,Product_A,37.94,0,210.0,7965.6
2023-11-30,Store_1,Product_A,37.94,0,203.0,7689.27
2023-12-01,Store_1,Product_A,37.94,0,196.0,7417.72
2023-12-02,Store_1,Product_A,37.94,0,172.0,6510.09
2023-12-03,Store_1,Product_A,37.94,0,181.0,6882.72
2023-12-04,Store_1,Product_A,37.94,0,199.0,7549.29
2023-12-05,Store_1,Product_A,37.94,0,194.0,7362.77
2023-12-06,Store_1,Product_A,37.94,0,220.0,8335.98
2023-12-07,Store_1,Product_A,37.94,0,202.0,7677.48
2023-12-08,Store_1,Product_A,37.94,0,188.0,7124.44
2023-12-09,Store_1,Product_A,37.94,0,181.0,6875.58
2023-12-10,Store_1,Product_A,37.94,0,193.0,7340.13
2023-12-11,Store_1,Product_A,37.94,0,209.0,7927.85
2023-12-12,Store_1,Product_A,37.94,0,228.0,8648.64
2023-12-13,Store_1,Product_A,37.94,0,206.0,7798.04
2023-12-14,Store_1,Product_A,37.94,0,210.0,7961.55
2023-12-15,Store_1,Product_A,37.94,0,182.0,6894.1
2023-12-16,Store_1,Product_A,37.94,0,188.0,7149.15
2023-12-17,Store_1,Product_A,37.94,0,188.0,7141.22
2023-12-18,Store_1,Product_A,37.94,1,261.0,9912.94
2023-12-19,Store_1,Product_A,37.94,0,204.0,7721.66
2023-12-20,Store_1,Product_A,37.94,0,217.0,8243.2
2023-12-21,Store_1,Product_A,37.94,0,204.0,7729.05
2023-12-22,Store_1,Product_A,37.94,0,199.0,7552.9
2023-12-23,Store_1,Product_A,37.94,0,193.0,7311.86
2023-12-24,Store_1,Product_A,37.94,0,197.0,7458.21
2023-12-25,Store_1,Product_A,37.94,0,209.0,7944.7
2023-12-26,Store_1,Product_A,37.94,1,239.0,9055.36
2023-12-27,Store_1,Product_A,37.94,0,213.0,8066.49
2023-12-28,Store_1,Product_A,37.94,0,217.0,8241.75
2023-12-29,Store_1,Product_A,37.94,0,206.0,7829.9
2023-12-30,Store_1,Product_A,37.94,0,197.0,7467.32
2023-12-31,Store_1,Product_A,37.94,0,201.0,7607.65
2024-01-01,Store_1,Product_A,37.94,0,206.0,7807.27
2024-01-02,Store_1,Product_A,37.94,0,210.0,7975.74
2024-01-03,Store_1,Product_A,37.94,1,254.0,9653.54
2024-01-04,Store_1,Product_A,37.94,0,202.0,7646.65
2024-01-05,Store_1,Product_A,37.94,1,218.0,8284.33
2024-01-06,Store_1,Product_A,37.94,0,198.0,7496.55
2024-01-07,Store_1,Product_A,37.94,0,202.0,7648.07
2024-01-08,Store_1,Product_A,37.94,0,204.0,7722.9
2024-01-09,Store_1,Product_A,37.94,0,241.0,9126.01
2024-01-10,Store_1,Product_A,37.94,0,218.0,8288.64
2024-01-11,Store_1,Product_A,37.94,0,225.0,8552.09
2024-01-12,Store_1,Product_A,37.94,0,191.0,7259.95
2024-01-13,Store_1,Product_A,37.94,0,194.0,7369.68
2024-01-14,Store_1,Product_A,37.94,0,190.0,7214.46
2024-01-15,Store_1,Product_A,37.94,1,229.0,8696.12
2024-01-16,Store_1,Product_A,37.94,0,221.0,8380.31
2024-01-17,Store_1,Product_A,37.94,0,237.0,8974.46
2024-01-18,Store_1,Product_A,37.94,0,213.0,8067.15
2024-01-19,Store_1,Product_A,37.94,0,210.0,7972.54
2024-01-20,Store_1,Product_A,37.94,0,203.0,7691.1
2024-01-21,Store_1,Product_A,37.94,0,193.0,7309.55
2024-01-22,Store_1,Product_A,37.94,0,231.0,8771.87
2024-01-23,Store_1,Product_A,37.94,0,245.0,9294.03
2024-01-24,Store_1,Product_A,37.94,0,247.0,9383.24
2024-01-25,Store_1,Product_A,37.94,0,227.0,8631.1
2024-01-26,Store_1,Product_A,37.94,1,243.0,9223.45
2024-01-27,Store_1,Product_A,37.94,0,206.0,7817.03
2024-01-28,Store_1,Product_A,37.94,0,204.0,7748.65
2024-01-29,Store_1,Product_A,37.94,0,228.0,8647.88
2024-01-30,Store_1,Product_A,37.94,0,232.0,8791.86
2024-01-31,Store_1,Product_A,37.94,0,235.0,8928.17
2024-02-01,Store_1,Product_A,37.94,0,229.0,8670.4
2024-02-02,Store_1,Product_A,37.94,0,214.0,8105.86
2024-02-03,Store_1,Product_A,37.94,0,213.0,8078.09
2024-02-04,Store_1,Product_A,37.94,0,222.0,8422.97
2024-02-05,Store_1,Product_A,37.94,0,227.0,8631.02
2024-02-06,Store_1,Product_A,37.94,0,228.0,8643.08
2024-02-07,Store_1,Product_A,37.94,0,246.0,9334.88
2024-02-08,Store_1,Product_A,37.94,0,234.0,8880.81
2024-02-09,Store_1,Product_A,37.94,0,207.0,7871.22
2024-02-10,Store_1,Product_A,37.94,0,210.0,7953.21
2024-02-11,Store_1,Product_A,37.94,0,227.0,8629.47
2024-02-12,Store_1,Product_A,37.94,0,232.0,8797.01
2024-02-13,Store_1,Product_A,37.94,0,226.0,8592.02
2024-02-14,Store_1,Product_A,37.94,0,235.0,8903.97
2024-02-15,Store_1,Product_A,37.94,0,239.0,9061.65
2024-02-16,Store_1,Product_A,37.94,0,210.0,7981.42
2024-02-17,Store_1,Product_A,37.94,0,215.0,8149.37
2024-02-18,Store_1,Product_A,37.94,0,210.0,7960.36
2024-02-19,Store_1,Product_A,37.94,0,232.0,8816.74
2024-02-20,Store_1,Product_A,37.94,0,244.0,9248.45
2024-02-21,Store_1,Product_A,37.94,0,243.0,9205.51
2024-02-22,Store_1,Product_A,37.94,1,279.0,10604.04
2024-02-23,Store_1,Product_A,37.94,0,222.0,8436.68
2024-02-24,Store_1,Product_A,37.94,0,210.0,7971.07
2024-02-25,Store_1,Product_A,37.94,0,209.0,7928.67
2024-02-26,Store_1,Product_A,37.94,0,215.0,8170.13
2024-02-27,Store_1,Product_A,37.94,0,243.0,9217.07
2024-02-28,Store_1,Product_A,37.94,0,247.0,9357.84
2024-02-29,Store_1,Product_A,37.94,0,244.0,9276.26
2024-03-01,Store_1,Product_A,37.94,0,224.0,8482.94
2024-03-02,Store_1,Product_A,37.94,0,235.0,8916.87
2024-03-03,Store_1,Product_A,37.94,1,246.0,9330.3
2024-03-04,Store_1,Product_A,37.94,0,214.0,8112.99
2024-03-05,Store_1,Product_A,37.94,0,251.0,9518.59
2024-03-06,Store_1,Product_A,37.94,0,252.0,9566.64
2024-03-07,Store_1,Product_A,37.94,0,235.0,8930.05
2024-03-08,Store_1,Product_A,37.94,0,215.0,8159.78
2024-03-09,Store_1,Product_A,37.94,0,219.0,8322.17
2024-03-10,Store_1,Product_A,37.94,0,223.0,8465.23
2024-03-11,Store_1,Product_A,37.94,0,227.0,8611.27
